 ;Максимальная теспература за день, С;Минимальная температура за день, С;Средня влажность, г/м3;Средняя скорость ветра, м/с;;;;;;;;;;;;;;;;;;;;
01.07.2020;26,2;23,7;37,5;4,1;;;;;;;;;;;;;;;;;;;;
02.07.2020;24,2;13,1;19,4;17,9;;;;;;;;;;;;;;;;;;;;
03.07.2020;24,3;12,3;95,9;14,5;;;;;;;;;;;;;;;;;;;;
04.07.2020;26,7;13,8;32,4;19,5;;;;;;;;;;;;;;;;;;;;
05.07.2020;34,9;11,1;60,9;12,8;;;;;;;;;;;;;;;;;;;;
06.07.2020;34,2;13,5;38;19,1;;;;;;;;;;;;;;;;;;;;
07.07.2020;30,8;17,9;60,9;6,7;;;;;;;;;;;;;;;;;;;;
08.07.2020;22,7;20,7;34,1;10,1;;;;;;;;;;;;;;;;;;;;
09.07.2020;30,9;22,5;26,6;2,8;;;;;;;;;;;;;;;;;;;;
10.07.2020;27,5;25;76,7;10,1;;;;;;;;;;;;;;;;;;;;
11.07.2020;25,7;13,2;25,3;18,3;;;;;;;;;;;;;;;;;;;;
12.07.2020;25,8;11,5;32,6;10,3;;;;;;;;;;;;;;;;;;;;
13.07.2020;23,3;11;21;19,5;;;;;;;;;;;;;;;;;;;;
14.07.2020;20,9;20,4;19,4;16,4;;;;;;;;;;;;;;;;;;;;
15.07.2020;25,9;19,3;37,7;6,4;;;;;;;;;;;;;;;;;;;;
16.07.2020;31,8;29,9;73,7;16,5;;;;;;;;;;;;;;;;;;;;
17.07.2020;31,7;18,1;31,8;5,9;;;;;;;;;;;;;;;;;;;;
18.07.2020;25,1;18,7;24,7;11,7;;;;;;;;;;;;;;;;;;;;
19.07.2020;33,3;17,3;85,2;8,8;;;;;;;;;;;;;;;;;;;;
20.07.2020;25,8;18,4;54,2;14,6;;;;;;;;;;;;;;;;;;;;
21.07.2020;24,2;21,9;17,7;2,3;;;;;;;;;;;;;;;;;;;;
22.07.2020;26,6;19,2;79,5;1,1;;;;;;;;;;;;;;;;;;;;
23.07.2020;34,1;30,9;39;5,2;;;;;;;;;;;;;;;;;;;;
24.07.2020;24,8;13,6;38,4;14,5;;;;;;;;;;;;;;;;;;;;
25.07.2020;23,1;15,2;86,8;17,2;;;;;;;;;;;;;;;;;;;;
26.07.2020;31,3;21,6;10,6;12,9;;;;;;;;;;;;;;;;;;;;
27.07.2020;23,9;22,7;92,7;9,1;;;;;;;;;;;;;;;;;;;;
28.07.2020;24;13,8;93,7;14,4;;;;;;;;;;;;;;;;;;;;
29.07.2020;21,8;15,8;32,5;10,9;;;;;;;;;;;;;;;;;;;;
30.07.2020;31,4;15,2;44,6;8,9;;;;;;;;;;;;;;;;;;;;
31.07.2020;25,7;15;91,7;19,2;;;;;;;;;;;;;;;;;;;;
01.08.2020;29;16,4;7,8;11,7;;;;;;;;;;;;;;;;;;;;
02.08.2020;17,7;13,7;31,2;18,1;;;;;;;;;;;;;;;;;;;;
03.08.2020;16;13,1;95,3;6,8;;;;;;;;;;;;;;;;;;;;
04.08.2020;19,6;15,9;11,7;13;;;;;;;;;;;;;;;;;;;;
05.08.2020;26,1;16,3;42,4;10,4;;;;;;;;;;;;;;;;;;;;
06.08.2020;27,4;20,9;18;2,7;;;;;;;;;;;;;;;;;;;;
07.08.2020;16,1;16,1;20,3;11,9;;;;;;;;;;;;;;;;;;;;
08.08.2020;33,2;5,7;79,1;15;;;;;;;;;;;;;;;;;;;;
09.08.2020;15,4;7,6;42,8;19,5;;;;;;;;;;;;;;;;;;;;
10.08.2020;20,7;16;7,8;17,2;;;;;;;;;;;;;;;;;;;;
11.08.2020;16;5,9;93,2;12,2;;;;;;;;;;;;;;;;;;;;
12.08.2020;15;9,3;81,5;16,5;;;;;;;;;;;;;;;;;;;;
13.08.2020;24,2;20,5;85,2;8,8;;;;;;;;;;;;;;;;;;;;
14.08.2020;29,9;17,6;44,7;15,5;;;;;;;;;;;;;;;;;;;;
15.08.2020;20,9;18,6;78,1;12,4;;;;;;;;;;;;;;;;;;;;
16.08.2020;28,6;13,9;76,8;13,9;;;;;;;;;;;;;;;;;;;;
17.08.2020;22,1;7,5;17,5;17,6;;;;;;;;;;;;;;;;;;;;
18.08.2020;34,7;27,1;7,8;2,9;;;;;;;;;;;;;;;;;;;;
19.08.2020;30,7;18,4;32,9;13,7;;;;;;;;;;;;;;;;;;;;
